priority,business_name,phone,phone_type,category,city,state,source,discovery_method,website,is_sole_proprietor,found_at
standard,AURELIA NAIL LOUNGE,4699255678,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,DE GALA BEAUTY SALON,9564588426,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,GREAT CLIPS,2815287472,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,STYLE HOUSE,5127181314,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,SOUTHWEST HAIR DESIGN,8064447009,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,KIMBERLY'S HAIR,9723658369,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,SANDERS BARBER SHOP,9034554611,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,BEAUTY & GLAMOUR HAIR STUDIO,9564250047,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,TRINITY BARBERSHOP,4698557725,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,360 PRO BEAUTY,2818863838,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,BLESSA FASHION HAIR,6827072895,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,LUX SALONS USA LLC,2149713255,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,THE HAIR GALLERY,9038514374,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,LALALEELOU,8082985925,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,CUTSONTHEMOVE BARBER SHOP,4094977626,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,CAPITAL ROOTS,2549318528,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,EXPRESSIONZ BARBER SALON,4694933941,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,PHOXCOVE BARBERSHOP,8326334198,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,CURLS HTX,7132959254,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,TC NAILS PROFESSIONAL,3465712967,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,FUJI BEAUTY SPA,8178089229,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,RP2B2 ENTRERPRIZES,5128260971,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,LINNA'S BEUTY SALON,4694758938,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,NORMA'S GLAMOR TOUCH,9569757828,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,LE SALONCE #2,3617281865,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,MAJESTIC BARBER STUDIO & LOUNGE,3252622246,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,BARBERVILLE BARBER GARAGE,8175716777,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,ROYAL SIGNATURE BEAUTY BAR,8329989438,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,L.N.D. HAIR STUDIO,2148262600,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,THE EMPIRE,9152075481,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,GILBERT & COMPANY,3618142245,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,D BLANCA'S BEAUTY SALON,9563764423,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,HIDDEN GEMS HAIR SALON,9794221147,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,AJ NAILS & SPA,3256709353,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,SHE STYLES,9152042768,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,THE GALAXY BARBERSHOP,5126797596,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,THE HAIR PLACE,4097711449,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,SHAI WATHAN SPA LLC,8322824893,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,THE RED ZONE BARBERSHOP,9035890763,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,TONY NAILS AND HAIR,2815993570,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,LILY'S HAIR & SPA,2108495608,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,COUNTDOWN SA LLC,2106366921,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,A/M/ LEX,2813485738,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,MR LOYALTY BARBER SHOP,4698262668,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,SABINES HAUS OF HAIR,2818278689,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,SALON ELEV8,7133431563,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,THIS CUT'S FOR YOU,2144044052,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,MUSE AESTHETICS,9565606161,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,MAGIC SALON,9566249900,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,LOCKERROOM HAIRCUTS,8063980775,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,ITS LOOKERS,2814201905,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,DANA'S BARBER SHOP,5124267667,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,PAS SALON AND BARBERSHOP,8178465434,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,SHEER BEAUTY SALON AND DRYBAR LLC,8306609899,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,CHIC HAIR SALON,9565998065,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,HAIR QUARTERS,9722476151,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,HOOKED BARBER SHOP,9032445112,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,HAIR BY SUNNY,7135847196,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,BALAYAGE HAIR SALON,2107197537,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,VOXIE STUDIOS,7138258008,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,BLACK HOUSE STUDIO,7135171279,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,DOCS CHOP SHOP,8179943350,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,SPIRITUALLY DELIGHTED,2147189173,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,NI BEAUTY BAR,4322028784,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,SPOTLIGHT BARBERSHOP LLC,8327413678,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,YOKE HAIR,8172717732,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,S.O.S HAIR SALON,8063163246,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,THE ROYAL BARBER SHOP,9035174476,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,BLUES BARBER SHOP,2108723337,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
standard,16TH ST BARBER SHOP,8063725165,,Full Service Establishment,,TX,socrata:tdlr_all_licenses,,,,
