priority,business_name,phone,phone_type,category,city,state,source,discovery_method,website,is_sole_proprietor,found_at
standard,MARK TENBORG,480-983-2694,landline,Naturopath,,AZ,,,,,
standard,TROY OKPAGU,480-535-5688,landline,Naturopath,,AZ,,,,,
standard,MARY MARCANTEL,480-738-1647,landline,Naturopath,,AZ,,,,,
standard,JOCELYN BOUCHARD,520-344-0308,landline,Naturopath,,AZ,,,,,
standard,BARBARA KOUDELKA,602-855-0640,landline,Naturopath,,AZ,,,,,
standard,JAY MAXWELL,480-438-2211,landline,Naturopath,,AZ,,,,,
standard,NICK BURATOVICH,480-831-0717,landline,Naturopath,,AZ,,,,,
standard,CAROLE EASTMAN,602-405-6508,landline,Naturopath,,AZ,,,,,
standard,VERONICA BOYER,480-269-3739,landline,Naturopath,,AZ,,,,,
standard,"AT THE MOMENT HEALTH, LLC",4802516215,landline,Naturopath,,AZ,,,,,
standard,CAROLYN HELSER,480-370-4296,landline,Naturopath,,AZ,,,,,
standard,DASIA GARCIA,480-343-1204,landline,Naturopath,,AZ,,,,,
standard,YEZID CALLEJAS,480-890-1800,landline,Naturopath,,AZ,,,,,
standard,DEVON DESIMONE,480-636-0766,landline,Naturopath,,AZ,,,,,
standard,KONSTANTINA ADAMS,219-794-5777,landline,Naturopath,,AZ,,,,,
standard,JOANNE FEASTER,480-619-8662,landline,Naturopath,,AZ,,,,,
standard,NATURAL CHOICE MEDICAL CARE LLC,4802264554,landline,Naturopath,,AZ,,,,,
standard,ANDREW OTTEN,480-331-5044,landline,Naturopath,,AZ,,,,,
standard,YOUNG JU LEE,480-433-4051,landline,Naturopath,,AZ,,,,,
standard,NANCY MULLIS,602-510-9346,landline,Naturopath,,AZ,,,,,
standard,BLYTHE BURTON-TEED,480-522-8144,landline,Naturopath,,AZ,,,,,
standard,UPAYA NATUROPATHIC WELLNESS PLLC,6024413692,landline,Naturopath,,AZ,,,,,
standard,INFINITY CARE HEALTH SPECIALISTS LLC,4805405646,landline,Naturopath,,AZ,,,,,
standard,KAYLA AMIN,410-935-2609,landline,Naturopath,,AZ,,,,,
standard,VERONIQUE PANGIA,480-381-1878,landline,Naturopath,,AZ,,,,,
standard,MICHELA NELSON,480-256-9737,landline,Naturopath,,AZ,,,,,
standard,WAYNE SPENCE,480-274-7256,landline,Naturopath,,AZ,,,,,
standard,ALLEN ANDERSON,480-370-1514,landline,Naturopath,,AZ,,,,,
standard,HANNA HAVERINEN,623-335-7143,landline,Naturopath,,AZ,,,,,
standard,SIERRA KNELLER,480-590-5428,landline,Naturopath,,AZ,,,,,
standard,VICTORIA GREEN,480-650-1013,landline,Naturopath,,AZ,,,,,
standard,ARTHUR POWELL,480-306-8111,landline,Naturopath,,AZ,,,,,
standard,DIANNA MENDOZA,480-969-6699,landline,Naturopath,,AZ,,,,,
standard,LYNNETTE BALENTINE,480-622-3035,landline,Naturopath,,AZ,,,,,
standard,BARBARA BROOKS,480-464-4681,landline,Naturopath,,AZ,,,,,
standard,EAST VALLEY NATUROPATHIC DOCTORS,4809850000,landline,Naturopath,,AZ,,,,,
standard,AMIE BARBANTI,602-403-8060,landline,Naturopath,,AZ,,,,,
standard,"NATURAL CHOICE HEALTHCARE, PLLC",4802046847,landline,Naturopath,,AZ,,,,,
standard,HAYLEY COLLINGE,480-420-6582,landline,Naturopath,,AZ,,,,,
standard,MIA DARLING,480-588-2233,landline,Naturopath,,AZ,,,,,
standard,GILBERTO LEON,480-857-3484,landline,Naturopath,,AZ,,,,,
standard,"BE WELL MEDICAL, PLLC",4802199900,landline,Naturopath,,AZ,,,,,
standard,MARIO COSS,480-668-2815,landline,Naturopath,,AZ,,,,,
standard,KATHRYN CAMERON,602-770-8213,landline,Naturopath,,AZ,,,,,
standard,CHELSEA DEVESON,480-531-2557,landline,Naturopath,,AZ,,,,,
standard,RIYANA CHINOY,480-242-8715,landline,Naturopath,,AZ,,,,,
standard,LUANN CULLEN,480-455-9851,landline,Naturopath,,AZ,,,,,
standard,BRECKIN HARRIS,480-232-6900,landline,Naturopath,,AZ,,,,,
standard,JENNIFER HAVENS,480-914-3673,landline,Naturopath,,AZ,,,,,
standard,FRED ARNOLD,602-292-2978,landline,Naturopath,,AZ,,,,,
standard,ROSALEE DAVIS,832-656-7922,landline,Naturopath,,AZ,,,,,
standard,KRISTEN BISHOP,480-268-0491,landline,Naturopath,,AZ,,,,,
standard,BRIDGET FITZGIBBONS,480-269-3623,landline,Naturopath,,AZ,,,,,
standard,RAMON ESQUERDO,480-610-0501,landline,Naturopath,,AZ,,,,,
standard,DONESE WORDEN,480-830-0430,landline,Naturopath,,AZ,,,,,
standard,MICHELLE DURNEY,540-842-5430,landline,Naturopath,,AZ,,,,,
standard,CORI KENNEDY,480-636-1068,landline,Naturopath,,AZ,,,,,
standard,"CHAMPION NATUROPATHIC HEALTH, LLC",4807059611,landline,Naturopath,,AZ,,,,,
standard,MICHELLE HOPPE,480-832-3014,landline,Naturopath,,AZ,,,,,
standard,BETH MARTIN,480-540-6124,landline,Naturopath,,AZ,,,,,
standard,SHAD ABDULLA,540-214-6869,landline,Naturopath,,AZ,,,,,
standard,TURSHA HAMILTON,901-488-3969,landline,Naturopath,,AZ,,,,,
standard,ROSA-ELISE SCOOLER,602-892-3754,landline,Naturopath,,AZ,,,,,
standard,DANIELLE GARVIN,520-329-3770,landline,Naturopath,,AZ,,,,,
standard,ANGELINA ALEJANDRO,480-866-7223,landline,Naturopath,,AZ,,,,,
standard,KRISTIN ROBINSON,480-878-0460,landline,Naturopath,,AZ,,,,,
standard,TANISHA HOOVER,480-331-4083,landline,Naturopath,,AZ,,,,,
standard,VICTORIA MUNOZ,480-239-1193,landline,Naturopath,,AZ,,,,,
standard,GLADYS CEBALLOS-LOGAN,480-503-4325,landline,Naturopath,,AZ,,,,,
standard,LAUREN BEARDSLEY,602-762-1690,landline,Naturopath,,AZ,,,,,
standard,EMILY KERANEN,480-306-7376,landline,Naturopath,,AZ,,,,,
standard,DUSTIN SOWARDS,520-635-3851,landline,Naturopath,,AZ,,,,,
standard,AYESHA WORSHAM,773-426-2732,landline,Naturopath,,AZ,,,,,
standard,MARIE-ELAINE COUSINEAU-COTE,480-239-7552,landline,Naturopath,,AZ,,,,,
standard,JEFFREY POTTS,512-698-2319,landline,Naturopath,,AZ,,,,,
standard,"ANDREW J. KAUFMANN, ND, P.L.C.",4808401841,landline,Naturopath,,AZ,,,,,
standard,AARON KILLION,319-331-6329,landline,Naturopath,,AZ,,,,,
standard,BRIANA CAIN,602-247-8644,landline,Naturopath,,AZ,,,,,
standard,ADRIENNE WILSON,520-381-2531,landline,Naturopath,,AZ,,,,,
standard,NATALIE BARRIBALL,602-206-3709,landline,Naturopath,,AZ,,,,,
standard,SUE BEITEL,508-922-2392,landline,Naturopath,,AZ,,,,,
standard,ANNE MARIE FINE,480-657-8633,landline,Naturopath,,AZ,,,,,
standard,ROBIN BORSA,480-390-6624,landline,Naturopath,,AZ,,,,,
standard,ELAINE BURNS,480-430-8418,landline,Naturopath,,AZ,,,,,
standard,MARY O'BRIEN,480-491-1716,landline,Naturopath,,AZ,,,,,
standard,FATIMA ALHADI,480-568-0252,landline,Naturopath,,AZ,,,,,
standard,SHENICE WRIGHT,602-575-8869,landline,Naturopath,,AZ,,,,,
standard,PHYLICIA ZARNOSKY,602-569-4144,landline,Naturopath,,AZ,,,,,
standard,INDIA HANLEY,480-462-2222,landline,Naturopath,,AZ,,,,,
standard,ANTHONY BALDUZZI,602-999-0004,landline,Naturopath,,AZ,,,,,
standard,DAPHNE CORNMAN,480-553-5200,landline,Naturopath,,AZ,,,,,
standard,SIMA AIDUN,480-860-4792,landline,Naturopath,,AZ,,,,,
standard,SHARON STILLS,520-308-5040,landline,Naturopath,,AZ,,,,,
standard,"DR. YASAMAN TASALLOTI, PLLC",4807798854,landline,Naturopath,,AZ,,,,,
standard,KAYLA SUMBERG,480-292-2125,landline,Naturopath,,AZ,,,,,
standard,ANNETTE D'ARMATA,480-389-1159,landline,Naturopath,,AZ,,,,,
standard,HOLLY CASTLE,480-205-6733,landline,Naturopath,,AZ,,,,,
standard,LANCE HERING,602-418-6307,landline,Naturopath,,AZ,,,,,
standard,NATALYA BORAKOWSKI,480-567-0744,landline,Naturopath,,AZ,,,,,
standard,ALAN BRADFORD,520-510-3678,landline,Naturopath,,AZ,,,,,
standard,JULIA FEINDT,856-381-3315,landline,Naturopath,,AZ,,,,,
standard,SHIFT BIO-ROOTED MEDICINE,6028991881,landline,Naturopath,,AZ,,,,,
standard,SARUMATHY BALA,512-461-1955,landline,Naturopath,,AZ,,,,,
standard,ROXANNA GARCIA,520-460-7890,landline,Naturopath,,AZ,,,,,
standard,KEYSTONE NATURAL FAMILY MEDICINE,5093251977,landline,Naturopath,,AZ,,,,,
standard,"HERITAGE OF HEALTH, PLLC",4807299589,landline,Naturopath,,AZ,,,,,
standard,DIANA BUEHLER,480-242-7518,landline,Naturopath,,AZ,,,,,
standard,ISABEL GRANT,480-577-3433,landline,Naturopath,,AZ,,,,,
standard,ADWOA ASARE,240-440-3096,landline,Naturopath,,AZ,,,,,
standard,"CLARK H. HANSEN, N.M.D., LTD",4809915092,landline,Naturopath,,AZ,,,,,
standard,MAGGIE GARVIN,602-736-9599,landline,Naturopath,,AZ,,,,,
standard,JESSICA BRAMSTEDT,480-981-1960,landline,Naturopath,,AZ,,,,,
standard,DANIEL CONWAY,224-548-1423,landline,Naturopath,,AZ,,,,,
standard,MATTHEW HERNANDEZ,480-360-0115,landline,Naturopath,,AZ,,,,,
standard,MICHAEL JAMSHIDI,301-741-6315,landline,Naturopath,,AZ,,,,,
standard,SUSAN DARBY,480-571-0794,landline,Naturopath,,AZ,,,,,
standard,DR MATTHIAS PC,9196280077,landline,Naturopath,,AZ,,,,,
standard,REBECCA CARPENTER,480-831-5370,landline,Naturopath,,AZ,,,,,
standard,KYLE CRONIN,480-451-6161,landline,Naturopath,,AZ,,,,,
standard,JANICE JACKSON,480-886-3059,landline,Naturopath,,AZ,,,,,
standard,ERIN ELLIS,480-630-1665,landline,Naturopath,,AZ,,,,,
standard,KIMBERLY DOYLE,480-200-2732,landline,Naturopath,,AZ,,,,,
standard,ANGELA DARRAGH,480-560-1600,landline,Naturopath,,AZ,,,,,
standard,KAITLYN DUFFY,407-402-7106,landline,Naturopath,,AZ,,,,,
standard,ANGELA BILYEU,480-777-2443,landline,Naturopath,,AZ,,,,,
standard,ELAINE KOZULA,480-749-3337,landline,Naturopath,,AZ,,,,,
standard,CAROL JAMISON,480-836-4411,landline,Naturopath,,AZ,,,,,
standard,COLLEEN HUBER,480-839-2800,landline,Naturopath,,AZ,,,,,
standard,CHRYSTIE EGGERLING,480-905-9200,landline,Naturopath,,AZ,,,,,
standard,TERRA HEALTH CONCEPTS,4808161600,landline,Naturopath,,AZ,,,,,
standard,BETHANY MCCALLA,480-352-7262,landline,Naturopath,,AZ,,,,,
standard,MARK HEISIG,602-459-3243,landline,Naturopath,,AZ,,,,,
standard,DARRIENNE SLATER,480-922-1101,landline,Naturopath,,AZ,,,,,
standard,RUMBIDZAI MUDZONGA,480-436-1549,landline,Naturopath,,AZ,,,,,
standard,DE ADREA FONTAINE,480-666-5505,landline,Naturopath,,AZ,,,,,
standard,ANN SURA,480-445-9418,landline,Naturopath,,AZ,,,,,
standard,JOHN DYE,928-202-1218,landline,Naturopath,,AZ,,,,,
standard,ANA LARA,602-926-1711,landline,Naturopath,,AZ,,,,,
standard,SMAX LLC,4802893690,landline,Naturopath,,AZ,,,,,
standard,AALIA AVELIN,203-885-2162,landline,Naturopath,TEMPE,AZ,nppes,,,,
standard,"CHARANJIT DHILLON, MD, PC",6023950718,landline,Neurological Surgery,,AZ,,,,,
standard,JOSEPH DIDOMENICO,480-681-7344,landline,Neurological Surgery,,AZ,,,,,
standard,"MARCO MARSELLA, M.D. P.C.",4809483301,landline,Neurological Surgery,,AZ,,,,,
standard,MICHELLE CHUA,602-406-4958,landline,Neurological Surgery,,AZ,,,,,
standard,TSINSUE CHEN,480-917-5600,landline,Neurological Surgery,,AZ,,,,,
standard,ARISTOTELIS FILIPPIDIS,602-406-3181,landline,Neurological Surgery,,AZ,,,,,
standard,APICHAN POOTRAKUL,623-972-3001,landline,Neurological Surgery,,AZ,,,,,
standard,"PANACEA BRAIN AND SPINE, LLC",7208831593,landline,Neurological Surgery,,AZ,,,,,
standard,ARLO B BRAKEL MD LLC,5207493509,landline,Neurological Surgery,,AZ,,,,,
standard,BANNER UNIVERSITY MEDICAL CENTER TUCSON,5206260704,landline,Neurological Surgery,,AZ,,,,,
