priority,business_name,phone,phone_type,category,city,state,source,discovery_method,website,is_sole_proprietor,found_at
standard,Hair Candy Salon & Spa,(503) 654-1675,osm_harvested,Beauty,Clackamas,OR,osm_overpass,,,,
standard,Brow Beauty,(503) 303-7583,osm_harvested,Beauty,Clackamas,OR,osm_overpass,,,,
standard,Palm Beach Tan,(503) 258-8267,osm_harvested,Beauty,Portland,OR,osm_overpass,,,,
standard,Gateway Nails,(503) 256-1019,osm_harvested,Beauty,Portland,OR,osm_overpass,,,,
standard,4 Seasons Nails & Spa,(503) 254-6769,osm_harvested,Beauty,Portland,OR,osm_overpass,,,,
standard,Artisan Nails,(503) 670-9441,osm_harvested,Beauty,Tigard,OR,osm_overpass,,,,
standard,New York Nails,(503) 247-9158,osm_harvested,Beauty,Portland,OR,osm_overpass,,,,
standard,SkinSense Spa,(503) 307-3833,osm_harvested,Beauty,Lake Oswego,OR,osm_overpass,,,,
standard,Perfect Solar Nails,(503) 699-0890,osm_harvested,Beauty,Lake Oswego,OR,osm_overpass,,,,
standard,Zen Nails,(503) 283-2943,osm_harvested,Beauty,Portland,OR,osm_overpass,,,,
standard,Quenby's Aesthetic Medicine & Wellness Center,(503) 303-5472,osm_harvested,Beauty,Lake Oswego,OR,osm_overpass,,,,
standard,T Nails & Spa,(503) 653-1111,osm_harvested,Beauty,Happy Valley,OR,osm_overpass,,,,
standard,Mattress Firm,(503) 255-2296,osm_harvested,Bed,Portland,OR,osm_overpass,,,,
standard,Mattress Firm,(503) 288-1681,osm_harvested,Bed,Portland,OR,osm_overpass,,,,
standard,Sleep Number,(503) 786-3695,osm_harvested,Bed,Clackamas,OR,osm_overpass,,,,
standard,Mattress Firm,(503) 775-3013,osm_harvested,Bed,Happy Valley,OR,osm_overpass,,,,
standard,French Quarter Linens,(503) 282-8200,osm_harvested,Bed,Portland,OR,osm_overpass,,,,
standard,BedMart,(503) 764-4366,osm_harvested,Bed,Portland,OR,osm_overpass,,,,
standard,P.J. Sleep Shop,(503) 232-5222,osm_harvested,Bed,Portland,OR,osm_overpass,,,,
standard,Mattress Firm,(503) 443-3978,osm_harvested,Bed,Tigard,OR,osm_overpass,,,,
standard,BedMart,(503) 546-1166,osm_harvested,Bed,Portland,OR,osm_overpass,,,,
standard,BedMart,(503) 764-4390,osm_harvested,Bed,Tigard,OR,osm_overpass,,,,
standard,Mattress Firm,(503) 287-3987,osm_harvested,Bed,Portland,OR,osm_overpass,,,,
standard,Mattress Firm,(503) 517-0076,osm_harvested,Bed,Portland,OR,osm_overpass,,,,
standard,Mattress World Northwest,(503) 894-5806,osm_harvested,Bed,Portland,OR,osm_overpass,,,,
standard,Mattress Firm,(503) 748-0016,osm_harvested,Bed,Tigard,OR,osm_overpass,,,,
standard,Mattress World,(503) 713-6548,osm_harvested,Bed,Beaverton,OR,osm_overpass,,,,
