SELF-PROXY SCANNER — Uses our own VPS IPs as proxy network
States: ['LA'] | Workers: 150 | chunked list (bounded RAM)
Self-proxy pool: 7 unique VPS IPs
SHARD: 0/1 (env) — only scanning 1/1 of the space, zero overlap with other nodes
============================================================
       45/1,000,000 | 3/min | ETA:5824h | 30,000 searches
       45/1,000,000 | 3/min | ETA:5880h | 30,300 searches
       46/1,000,000 | 3/min | ETA:5808h | 30,600 searches
       47/1,000,000 | 3/min | ETA:5739h | 30,900 searches
       47/1,000,000 | 3/min | ETA:5803h | 31,200 searches
       47/1,000,000 | 3/min | ETA:5850h | 31,500 searches
       47/1,000,000 | 3/min | ETA:5883h | 31,800 searches
       47/1,000,000 | 3/min | ETA:5942h | 32,100 searches
       47/1,000,000 | 3/min | ETA:5992h | 32,400 searches
       48/1,000,000 | 3/min | ETA:5919h | 32,700 searches
       51/1,000,000 | 3/min | ETA:5634h | 33,000 searches
       52/1,000,000 | 3/min | ETA:5590h | 33,300 searches
       52/1,000,000 | 3/min | ETA:5644h | 33,600 searches
       52/1,000,000 | 3/min | ETA:5681h | 33,900 searches
       52/1,000,000 | 3/min | ETA:5726h | 34,200 searches
       52/1,000,000 | 3/min | ETA:5783h | 34,500 searches
       52/1,000,000 | 3/min | ETA:5826h | 34,800 searches
       54/1,000,000 | 3/min | ETA:5667h | 35,100 searches
       56/1,000,000 | 3/min | ETA:5494h | 35,400 searches
       56/1,000,000 | 3/min | ETA:5530h | 35,700 searches
       56/1,000,000 | 3/min | ETA:5586h | 36,000 searches
       56/1,000,000 | 3/min | ETA:5654h | 36,300 searches
       56/1,000,000 | 3/min | ETA:5704h | 36,600 searches
       58/1,000,000 | 3/min | ETA:5551h | 36,900 searches
       58/1,000,000 | 3/min | ETA:5585h | 37,200 searches
       60/1,000,000 | 3/min | ETA:5444h | 37,500 searches
       64/1,000,000 | 3/min | ETA:5149h | 37,800 searches
       67/1,000,000 | 3/min | ETA:4943h | 38,100 searches
       67/1,000,000 | 3/min | ETA:4979h | 38,400 searches
       67/1,000,000 | 3/min | ETA:5015h | 38,700 searches
       68/1,000,000 | 3/min | ETA:4976h | 39,000 searches
       68/1,000,000 | 3/min | ETA:5016h | 39,300 searches
       68/1,000,000 | 3/min | ETA:5059h | 39,600 searches
       69/1,000,000 | 3/min | ETA:5026h | 39,900 searches
       69/1,000,000 | 3/min | ETA:5067h | 40,200 searches
       69/1,000,000 | 3/min | ETA:5107h | 40,500 searches
       69/1,000,000 | 3/min | ETA:5148h | 40,800 searches
       72/1,000,000 | 3/min | ETA:4970h | 41,100 searches
       73/1,000,000 | 3/min | ETA:4946h | 41,400 searches
       74/1,000,000 | 3/min | ETA:4931h | 41,700 searches
       75/1,000,000 | 3/min | ETA:4902h | 42,000 searches
       75/1,000,000 | 3/min | ETA:4937h | 42,300 searches
       75/1,000,000 | 3/min | ETA:4974h | 42,600 searches
       75/1,000,000 | 3/min | ETA:5013h | 42,900 searches
       77/1,000,000 | 3/min | ETA:4923h | 43,200 searches
       77/1,000,000 | 3/min | ETA:4943h | 43,500 searches
       77/1,000,000 | 3/min | ETA:4981h | 43,800 searches
       77/1,000,000 | 3/min | ETA:5000h | 44,100 searches
       77/1,000,000 | 3/min | ETA:5021h | 44,400 searches
       77/1,000,000 | 3/min | ETA:5059h | 44,700 searches
       77/1,000,000 | 3/min | ETA:5105h | 45,000 searches
       77/1,000,000 | 3/min | ETA:5139h | 45,300 searches
       77/1,000,000 | 3/min | ETA:5162h | 45,600 searches
       77/1,000,000 | 3/min | ETA:5200h | 45,900 searches
       77/1,000,000 | 3/min | ETA:5240h | 46,200 searches
       77/1,000,000 | 3/min | ETA:5278h | 46,500 searches
       77/1,000,000 | 3/min | ETA:5307h | 46,800 searches
       77/1,000,000 | 3/min | ETA:5349h | 47,100 searches
       77/1,000,000 | 3/min | ETA:5373h | 47,400 searches
       77/1,000,000 | 3/min | ETA:5393h | 47,700 searches
       77/1,000,000 | 3/min | ETA:5430h | 48,000 searches
       77/1,000,000 | 3/min | ETA:5452h | 48,300 searches
       77/1,000,000 | 3/min | ETA:5483h | 48,600 searches
       77/1,000,000 | 3/min | ETA:5520h | 48,900 searches
       77/1,000,000 | 3/min | ETA:5558h | 49,200 searches
       77/1,000,000 | 3/min | ETA:5595h | 49,500 searches
       77/1,000,000 | 3/min | ETA:5629h | 49,800 searches
       78/1,000,000 | 3/min | ETA:5593h | 50,100 searches
       78/1,000,000 | 3/min | ETA:5619h | 50,400 searches
       78/1,000,000 | 3/min | ETA:5654h | 50,700 searches
       78/1,000,000 | 3/min | ETA:5685h | 51,000 searches
       78/1,000,000 | 3/min | ETA:5709h | 51,300 searches
       78/1,000,000 | 3/min | ETA:5742h | 51,600 searches
       78/1,000,000 | 3/min | ETA:5778h | 51,900 searches
       78/1,000,000 | 3/min | ETA:5812h | 52,200 searches
       78/1,000,000 | 3/min | ETA:5849h | 52,500 searches
       79/1,000,000 | 3/min | ETA:5810h | 52,800 searches
       79/1,000,000 | 3/min | ETA:5851h | 53,100 searches
       79/1,000,000 | 3/min | ETA:5871h | 53,400 searches
       79/1,000,000 | 3/min | ETA:5904h | 53,700 searches
       79/1,000,000 | 3/min | ETA:5938h | 54,000 searches
       79/1,000,000 | 3/min | ETA:5967h | 54,300 searches
       79/1,000,000 | 3/min | ETA:6002h | 54,600 searches
       79/1,000,000 | 3/min | ETA:6042h | 54,900 searches
       79/1,000,000 | 3/min | ETA:6064h | 55,200 searches
       79/1,000,000 | 3/min | ETA:6105h | 55,500 searches
       79/1,000,000 | 3/min | ETA:6128h | 55,800 searches
       81/1,000,000 | 3/min | ETA:6020h | 56,100 searches
       81/1,000,000 | 3/min | ETA:6060h | 56,400 searches
       81/1,000,000 | 3/min | ETA:6087h | 56,700 searches
       81/1,000,000 | 3/min | ETA:6121h | 57,000 searches
       82/1,000,000 | 3/min | ETA:6081h | 57,300 searches
       82/1,000,000 | 3/min | ETA:6102h | 57,600 searches
       83/1,000,000 | 3/min | ETA:6066h | 57,900 searches
       83/1,000,000 | 3/min | ETA:6097h | 58,200 searches
       84/1,000,000 | 3/min | ETA:6049h | 58,500 searches
       85/1,000,000 | 3/min | ETA:6002h | 58,800 searches
       85/1,000,000 | 3/min | ETA:6023h | 59,100 searches
       85/1,000,000 | 3/min | ETA:6047h | 59,400 searches
       85/1,000,000 | 3/min | ETA:6085h | 59,700 searches
       85/1,000,000 | 3/min | ETA:6106h | 60,000 searches
       86/1,000,000 | 3/min | ETA:6056h | 60,300 searches
       86/1,000,000 | 3/min | ETA:6074h | 60,600 searches
       86/1,000,000 | 3/min | ETA:6096h | 60,900 searches
       86/1,000,000 | 3/min | ETA:6128h | 61,200 searches
       87/1,000,000 | 3/min | ETA:6090h | 61,500 searches
       87/1,000,000 | 3/min | ETA:6119h | 61,800 searches
